,F1-Score,ROC-AUC,PR-AUC,FN Count,FN Rate
Random Forest,0.8571428571428571,0.9206121472979436,0.9313231924600244,12.0,0.11764705882352941
SVM (RBF),0.8599033816425121,0.9120038259206121,0.9196300104686446,13.0,0.12745098039215685
SVM (linear),0.8415841584158416,0.8901243424198948,0.9049041834509575,17.0,0.16666666666666666
Baseline (Logistic),0.8235294117647058,0.885820181731229,0.8971479392292414,18.0,0.17647058823529413
XGBoost,0.8737864077669902,0.8956241032998565,0.8923505240945401,12.0,0.11764705882352941
Baseline (Dummy),0.0,0.5,0.5543478260869565,102.0,1.0
